年,月-期底,排名,資產總額-新台幣百萬元,銀行別
108,8,1,5134990,臺灣銀行
108,8,5,2975010,臺灣土地銀行
108,8,3,3447416,合作金庫商業銀行　
108,8,6,2943621,第一商業銀行
108,8,8,2619816,華南商業銀行
108,8,11,2145985,彰化商業銀行
108,8,13,1269689,上海商業儲蓄銀行
108,8,9,2542395,台北富邦銀行
108,8,7,2850205,國泰世華商業銀行
108,8,4,3270382,兆豐國際商業銀行
108,8,10,2363457,玉山商業銀行
108,8,12,1722872,臺灣中小企業銀行
108,8,2,3554295,中國信託商業銀行
